,name,ticker,exchange,sector,industry,long_business_summary,country,website,price,marketcap,dividends,ex_dividend_date,fiftytwo_week_high,fiftytwo_week_low,fifty_day_avgerage,recommendation,total_cash_per_share,profit_margins,volume,dividend_yield,yahoo_ticker
0,"Agilent Technologies, Inc.",A,NYQ,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",United States,https://www.agilent.com,133.58,40341295104.0,0.84,2022-01-03 01:00:00,179.57,119.88,137.9158,none,5.215,0.19148001,732496.0,0.00628836652193442,A
1,Alcoa Corporation,AA,NYQ,Basic Materials,Aluminum,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",United States,https://www.alcoa.com,74.69,13974724608.0,0.4,2022-03-07 01:00:00,92.32,27.11,68.7476,buy,9.784,0.0353,4121186.0,0.0053554692729950466,AA
2,Ares Acquisition Corporation,AAC,NYQ,Financial Services,Shell Companies,"Ares Acquisition Corporation focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was founded in 2020 and is based in New York, New York.",United States,https://www.aresacquisitioncorporation.com,9.765,1220625024.0,0.0,nan,10.0,9.5,9.7491,none,0.007,0.0,197191.0,0.0,AAC
3,Arlington Asset Investment Corp,AAIC,NYQ,Real Estate,REIT—Mortgage,"Arlington Asset Investment Corp. (NYSE: AAIC) currently invests primarily in mortgage-related and other assets and has elected to be taxed as a REIT. The Company is headquartered in the Washington, D.C. metropolitan area. For more information, please visit www.arlingtonasset.com.",United States,https://www.arlingtonasset.com,3.6,113325840.0,0.0,2019-12-30 01:00:00,4.27,3.13,3.4428,hold,21.804,-0.17639999,29863.0,0.0,AAIC
4,Arlington Asset Investment Corp,AAIN,NYQ,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,25.95,23.31,24.90404,nan,0.0,0.0,900.0,,AAIN
5,"Aarons Holdings Company, Inc.",AAN,NYQ,Consumer Cyclical,Specialty Retail,"The Aarons Company Inc. provides lease-to-own and purchase solutions. The company engages in direct-to-consumer sales and lease ownership of furniture, home appliances, electronics, and accessories through its approximately 1,300 Company-operated and franchised stores in the United States and Canada, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture. As of December 31, 2020, the company had 1,092 Company-operated stores and 248 independently-owned franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. was founded in 1955 and is headquartered in Atlanta, Georgia.",United States,https://www.aarons.com,22.33,703019840.0,0.4,2021-12-15 01:00:00,37.49,18.258,21.8986,hold,0.472,0.05272,78673.0,0.017913121361397225,AAN
6,Advance Auto Parts Inc.,AAP,NYQ,Consumer Cyclical,Specialty Retail,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",United States,https://www.advanceautoparts.com,206.99,12906903552.0,4.0,2021-12-16 01:00:00,244.55,178.99,222.1496,buy,9.781,0.05895,536918.0,0.019324605053384222,AAP
7,Accelerate Acquisition Corp.,AAQC,NYQ,Financial Services,Shell Companies,"Accelerate Acquisition Corp. intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses in industrial, transportation and mobility, consumer, and retail sectors. The company was incorporated in 2020 and is based in Short Hills, New Jersey.",United States,https://www.xlr8ac.com,9.72,486000000.0,0.0,nan,9.96,9.599,9.7109,none,0.023,0.0,268.0,0.0,AAQC
8,"American Assets Trust, Inc.",AAT,NYQ,Real Estate,REIT—Diversified,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",United States,https://www.americanassetstrust.com,36.07,2181228544.0,1.2,2021-12-08 01:00:00,40.83,31.47,36.5412,hold,2.843,0.065560006,58520.0,0.03326864430274466,AAT
9,AllianceBernstein Holding L.P.,AB,NYQ,Financial Services,Asset Management,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York.",United States,https://www.alliancebernstein.com,43.89,4334317056.0,3.58,2021-11-05 01:00:00,57.54,38.67,46.5542,buy,0.0,0.92239,333300.0,0.08156755525176577,AB
